"00021 \mathexclam
"02A46 \cupovercap
"02A47 \capovercup
"02A48 \cupbarcap
"02A49 \capbarcup
"02A4A \twocups
"02A4B \twocaps
"02A4C \closedvarcup
"02A4D \closedvarcap
"02A4E \Sqcap
"02A4F \Sqcup
"02A50 \closedvarcupsmashprod
"02A51 \wedgeodot
"02A52 \veeodot
"02A53 \Wedge
"02A54 \Vee
"02A55 \wedgeonwedge
"02A56 \veeonvee
"02A57 \bigslopedvee
"02A58 \bigslopedwedge
"02A59 \veeonwedge
"02A5A \wedgemidvert
"02A5B \veemidvert
"02A5C \midbarwedge
"02A5D \midbarvee
"02A5E \doublebarwedge
"02A5F \wedgebar
"02A60 \wedgedoublebar
"02A61 \varveebar

"02A62 \doublebarvee
"02A63 \veedoublebar
"02A64 \dsub
"02A65 \rsub
"02A66 \eqdot
"02A67 \dotequiv
"02A68 \equivVert
"02A69 \equivVvert
"02A6A \dotsim
"02A6B \simrdots
"02A6C \simminussim
"02A6D \congdot
"02A6E \asteq
"02A6F \hatapprox
"02A70 \approxeqq
"02A71 \eqqplus
"02A72 \pluseqq
"02A73 \eqqsim
"02A74 \Coloneq
"02A75 \eqeq
"02A76 \eqeqeq
"02A77 \ddotseq
"02A78 \equivDD
"02A79 \ltcir
"02A7A \gtcir
"02A7B \ltquest
"02A7C \gtquest
"02A7D \leqslant
"02A7E \geqslant
"02A7F \lesdot
"02A80 \gesdot
"02A81 \lesdoto
"02A82 \gesdoto
"02A83 \lesdotor
"02A84 \gesdotol
"02A85 \lessapprox
"02A86 \gtrapprox
"02A87 \lneq
"02A88 \gneq
"02A89 \lnapprox
"02A8A \gnapprox
"02A8B \lesseqqgtr
"02A8C \gtreqqless
"02A8D \lsime
"02A8E \gsime
"02A8F \lsimg
"02A90 \gsiml
"02A91 \lgE
"02A92 \glE
"02A93 \lesges
"02A94 \gesles
"02A95 \eqslantless
"02A96 \eqslantgtr
"02A97 \elsdot
"02A98 \egsdot
"02A99 \eqqless
"02A9A \eqqgtr
"02A9B \eqqslantless
"02A9C \eqqslantgtr
"02A9D \simless
"02A9E \simgtr
"02A9F \simlE
"02AA0 \simgE
"02AA1 \Lt
"02AA2 \Gt
"02AA3 \partialmeetcontraction
"02AA4 \glj
"02AA5 \gla
"02AA6 \ltcc
"02AA7 \gtcc
"02AA8 \lescc
"02AA9 \gescc
"02AAA \smt
"02AAB \lat
"02AAC \smte
"02AAD \late
"02AAE \bumpeqq
"02AAF \preceq
"02AB0 \succeq
"02AB1 \precneq
"02AB2 \succneq
"02AB3 \preceqq
"02AB4 \succeqq
"02AB5 \precneqq
"02AB6 \succneqq
"02AB7 \precapprox
"02AB8 \succapprox
"02AB9 \precnapprox
"02ABA \succnapprox
"02ABB \Prec
"02ABC \Succ
"02ABD \subsetdot
"02ABE \supsetdot
"02ABF \subsetplus
"02AC0 \supsetplus
"02AC1 \submult
"02AC2 \supmult
"02AC3 \subedot
"02AC4 \supedot
"02AC5 \subseteqq
"02AC6 \supseteqq
"02AC7 \subsim

"02AC8 \supsim
"02AC9 \subsetapprox
"02ACA \supsetapprox
"02ACB \subsetneqq
"02ACC \supsetneqq
"02ACD \lsqhook
"02ACE \rsqhook
"02ACF \csub
"02AD0 \csup
"02AD1 \csube
"02AD2 \csupe
"02AD3 \subsup
"02AD4 \supsub
"02AD5 \subsub
"02AD6 \supsup
"02AD7 \suphsub
"02AD8 \supdsub
"02AD9 \forkv
"02ADA \topfork
"02ADB \mlcp
"02ADC \forks
"02ADD \forksnot
"02ADE \shortlefttack
"02ADF \shortdowntack
"02AE0 \shortuptack
"02AE1 \perps
"02AE2 \vDdash
"02AE3 \dashV
"02AE4 \Dashv
"02AE5 \DashV
"02AE6 \varVdash
"02AE7 \Barv
"02AE8 \vBar
"02AE9 \vBarv
"02AEA \barV
"02AEB \Vbar
"02AEC \Not
"02AED \bNot
"02AEE \revnmid
"02AEF \cirmid
"02AF0 \midcir
"02AF1 \topcir
"02AF2 \nhpar
"02AF3 \parsim
"02AF4 \interleave
"02AF5 \nhVvert
"02AF6 \threedotcolon
"02AF7 \lllnest
"02AF8 \gggnest
"02AF9 \leqqslant
"02AFA \geqqslant
"02AFB \trslash
"02AFC \biginterleave
"02AFD \sslash
"02AFE \talloblong
"02AFF \bigtalloblong
"02B12 \squaretopblack
"02B13 \squarebotblack
"02B14 \squareurblack
"02B15 \squarellblack
"02B16 \diamondleftblack
"02B17 \diamondrightblack
"02B18 \diamondtopblack
"02B19 \diamondbotblack
"02B1A \dottedsquare
"02B1B \lgblksquare
"02B1C \lgwhtsquare
"02B1D \vysmblksquare
"02B1E \vysmwhtsquare
"02B1F \pentagonblack
"02B20 \pentagon
"02B21 \varhexagon
"02B22 \varhexagonblack
"02B23 \hexagonblack
"02B24 \lgblkcircle
"02B25 \mdblkdiamond
"02B26 \mdwhtdiamond
"02B27 \mdblklozenge
"02B28 \mdwhtlozenge
"02B29 \smblkdiamond
"02B2A \smblklozenge
"02B2B \smwhtlozenge
"02B2C \blkhorzoval
"02B2D \whthorzoval
"02B2E \blkvertoval
"02B2F \whtvertoval
"02B30 \circleonleftarrow
"02B31 \leftthreearrows
"02B32 \leftarrowonoplus
"02B33 \longleftsquigarrow
"02B34 \nvtwoheadleftarrow
"02B35 \nVtwoheadleftarrow
"02B36 \twoheadmapsfrom
"02B37 \twoheadleftdbkarrow
"02B38 \leftdotarrow
"02B39 \nvleftarrowtail
"02B3A \nVleftarrowtail
"02B3B \twoheadleftarrowtail
"02B3C \nvtwoheadleftarrowtail
"02B3D \nVtwoheadleftarrowtail
"02B3E \leftarrowx
"02B3F \leftcurvedarrow

"02B40 \equalleftarrow
"02B41 \bsimilarleftarrow
"02B42 \leftarrowbackapprox
"02B43 \rightarrowgtr
"02B44 \rightarrowsupset
"02B45 \LLeftarrow
"02B46 \RRightarrow
"02B47 \bsimilarrightarrow
"02B48 \rightarrowbackapprox
"02B49 \similarleftarrow
"02B4A \leftarrowapprox
"02B4B \leftarrowbsimilar
"02B4C \rightarrowbsimilar
"02B50 \medwhitestar
"02B51 \medblackstar
"02B52 \smwhitestar
"02B53 \rightpentagonblack
"02B54 \rightpentagon
"03012 \postalmark
"03030 \hzigzag
"1D400 \mbfA
"1D401 \mbfB
"1D402 \mbfC
"1D403 \mbfD
"1D404 \mbfE
"1D405 \mbfF
"1D406 \mbfG
"1D407 \mbfH
"1D408 \mbfI
"1D409 \mbfJ
"1D40A \mbfK
"1D40B \mbfL
"1D40C \mbfM
"1D40D \mbfN
"1D40E \mbfO
"1D40F \mbfP
"1D410 \mbfQ
"1D411 \mbfR
"1D412 \mbfS
"1D413 \mbfT
"1D414 \mbfU
"1D415 \mbfV
"1D416 \mbfW
"1D417 \mbfX
"1D418 \mbfY
"1D419 \mbfZ
"1D41A \mbfa
"1D41B \mbfb
"1D41C \mbfc
"1D41D \mbfd
"1D41E \mbfe
"1D41F \mbff
"1D420 \mbfg
"1D421 \mbfh
"1D422 \mbfi
"1D423 \mbfj
"1D424 \mbfk
"1D425 \mbfl
"1D426 \mbfm
"1D427 \mbfn
"1D428 \mbfo
"1D429 \mbfp
"1D42A \mbfq
"1D42B \mbfr
"1D42C \mbfs
"1D42D \mbft
"1D42E \mbfu
"1D42F \mbfv
"1D430 \mbfw
"1D431 \mbfx
"1D432 \mbfy
"1D433 \mbfz
"1D434 \mitA
"1D435 \mitB
"1D436 \mitC
"1D437 \mitD
"1D438 \mitE
"1D439 \mitF
"1D43A \mitG
"1D43B \mitH
"1D43C \mitI
"1D43D \mitJ
"1D43E \mitK
"1D43F \mitL
"1D440 \mitM
"1D441 \mitN
"1D442 \mitO
"1D443 \mitP
"1D444 \mitQ
"1D445 \mitR
"1D446 \mitS
"1D447 \mitT
"1D448 \mitU
"1D449 \mitV
"1D44A \mitW
"1D44B \mitX
"1D44C \mitY
"1D44D \mitZ
"1D44E \mita
"1D44F \mitb
"1D450 \mitc
"1D451 \mitd

"1D452 \mite
"1D453 \mitf
"1D454 \mitg
"1D456 \miti
"1D457 \mitj
"1D458 \mitk
"1D459 \mitl
"1D45A \mitm
"1D45B \mitn
"1D45C \mito
"1D45D \mitp
"1D45E \mitq
"1D45F \mitr
"1D460 \mits
"1D461 \mitt
"1D462 \mitu
"1D463 \mitv
"1D464 \mitw
"1D465 \mitx
"1D466 \mity
"1D467 \mitz
"1D468 \mbfitA
"1D469 \mbfitB
"1D46A \mbfitC
"1D46B \mbfitD
"1D46C \mbfitE
"1D46D \mbfitF
"1D46E \mbfitG
"1D46F \mbfitH
"1D470 \mbfitI
"1D471 \mbfitJ
"1D472 \mbfitK
"1D473 \mbfitL
"1D474 \mbfitM
"1D475 \mbfitN
"1D476 \mbfitO
"1D477 \mbfitP
"1D478 \mbfitQ
"1D479 \mbfitR
"1D47A \mbfitS
"1D47B \mbfitT
"1D47C \mbfitU
"1D47D \mbfitV
"1D47E \mbfitW
"1D47F \mbfitX
"1D480 \mbfitY
"1D481 \mbfitZ
"1D482 \mbfita
"1D483 \mbfitb
"1D484 \mbfitc
"1D485 \mbfitd
"1D486 \mbfite
"1D487 \mbfitf
"1D488 \mbfitg
"1D489 \mbfith
"1D48A \mbfiti
"1D48B \mbfitj
"1D48C \mbfitk
"1D48D \mbfitl
"1D48E \mbfitm
"1D48F \mbfitn
"1D490 \mbfito
"1D491 \mbfitp
"1D492 \mbfitq
"1D493 \mbfitr
"1D494 \mbfits
"1D495 \mbfitt
"1D496 \mbfitu
"1D497 \mbfitv
"1D498 \mbfitw
"1D499 \mbfitx
"1D49A \mbfity
"1D49B \mbfitz
"1D49C \mscrA
"1D49E \mscrC
"1D49F \mscrD
"1D4A2 \mscrG
"1D4A5 \mscrJ
"1D4A6 \mscrK
"1D4A9 \mscrN
"1D4AA \mscrO
"1D4AB \mscrP
"1D4AC \mscrQ
"1D4AE \mscrS
"1D4AF \mscrT
"1D4B0 \mscrU
"1D4B1 \mscrV
"1D4B2 \mscrW
"1D4B3 \mscrX
"1D4B4 \mscrY
"1D4B5 \mscrZ
"1D4B6 \mscra
"1D4B7 \mscrb
"1D4B8 \mscrc
"1D4B9 \mscrd
"1D4BB \mscrf
"1D4BD \mscrh
"1D4BE \mscri
"1D4BF \mscrj
"1D4C0 \mscrk
"1D4C1 \mscrl
"1D4C2 \mscrm

"1D4C3 \mscrn
"1D4C5 \mscrp
"1D4C6 \mscrq
"1D4C7 \mscrr
"1D4C8 \mscrs
"1D4C9 \mscrt
"1D4CA \mscru
"1D4CB \mscrv
"1D4CC \mscrw
"1D4CD \mscrx
"1D4CE \mscry
"1D4CF \mscrz
"1D4D0 \mbfscrA
"1D4D1 \mbfscrB
"1D4D2 \mbfscrC
"1D4D3 \mbfscrD
"1D4D4 \mbfscrE
"1D4D5 \mbfscrF
"1D4D6 \mbfscrG
"1D4D7 \mbfscrH
"1D4D8 \mbfscrI
"1D4D9 \mbfscrJ
"1D4DA \mbfscrK
"1D4DB \mbfscrL
"1D4DC \mbfscrM
"1D4DD \mbfscrN
"1D4DE \mbfscrO
"1D4DF \mbfscrP
"1D4E0 \mbfscrQ
"1D4E1 \mbfscrR
"1D4E2 \mbfscrS
"1D4E3 \mbfscrT
"1D4E4 \mbfscrU
"1D4E5 \mbfscrV
"1D4E6 \mbfscrW
"1D4E7 \mbfscrX
"1D4E8 \mbfscrY
"1D4E9 \mbfscrZ
"1D4EA \mbfscra
"1D4EB \mbfscrb
"1D4EC \mbfscrc
"1D4ED \mbfscrd
"1D4EE \mbfscre
"1D4EF \mbfscrf
"1D4F0 \mbfscrg
"1D4F1 \mbfscrh
"1D4F2 \mbfscri
"1D4F3 \mbfscrj
"1D4F4 \mbfscrk
"1D4F5 \mbfscrl
"1D4F6 \mbfscrm
"1D4F7 \mbfscrn
"1D4F8 \mbfscro
"1D4F9 \mbfscrp
"1D4FA \mbfscrq
"1D4FB \mbfscrr
"1D4FC \mbfscrs
"1D4FD \mbfscrt
"1D4FE \mbfscru
"1D4FF \mbfscrv
"1D500 \mbfscrw
"1D501 \mbfscrx
"1D502 \mbfscry
"1D503 \mbfscrz
"1D504 \mfrakA
"1D505 \mfrakB
"1D507 \mfrakD
"1D508 \mfrakE
"1D509 \mfrakF
"1D50A \mfrakG
"1D50D \mfrakJ
"1D50E \mfrakK
"1D50F \mfrakL
"1D510 \mfrakM
"1D511 \mfrakN
"1D512 \mfrakO
"1D513 \mfrakP
"1D514 \mfrakQ
"1D516 \mfrakS
"1D517 \mfrakT
"1D518 \mfrakU
"1D519 \mfrakV
"1D51A \mfrakW
"1D51B \mfrakX
"1D51C \mfrakY
"1D51E \mfraka
"1D51F \mfrakb
"1D520 \mfrakc
"1D521 \mfrakd
"1D522 \mfrake
"1D523 \mfrakf
"1D524 \mfrakg
"1D525 \mfrakh
"1D526 \mfraki
"1D527 \mfrakj
"1D528 \mfrakk
"1D529 \mfrakl
"1D52A \mfrakm
"1D52B \mfrakn
"1D52C \mfrako
"1D52D \mfrakp
"1D52E \mfrakq

"1D52F \mfrakr
"1D530 \mfraks
"1D531 \mfrakt
"1D532 \mfraku
"1D533 \mfrakv
"1D534 \mfrakw
"1D535 \mfrakx
"1D536 \mfraky
"1D537 \mfrakz
"1D538 \BbbA
"1D539 \BbbB
"1D53B \BbbD
"1D53C \BbbE
"1D53D \BbbF
"1D53E \BbbG
"1D540 \BbbI
"1D541 \BbbJ
"1D542 \BbbK
"1D543 \BbbL
"1D544 \BbbM
"1D546 \BbbO
"1D54A \BbbS
"1D54B \BbbT
"1D54C \BbbU
"1D54D \BbbV
"1D54E \BbbW
"1D54F \BbbX
"1D550 \BbbY
"1D552 \Bbba
"1D553 \Bbbb
"1D554 \Bbbc
"1D555 \Bbbd
"1D556 \Bbbe
"1D557 \Bbbf
"1D558 \Bbbg
"1D559 \Bbbh
"1D55A \Bbbi
"1D55B \Bbbj
"1D55C \Bbbk
"1D55D \Bbbl
"1D55E \Bbbm
"1D55F \Bbbn
"1D560 \Bbbo
"1D561 \Bbbp
"1D562 \Bbbq
"1D563 \Bbbr
"1D564 \Bbbs
"1D565 \Bbbt
"1D566 \Bbbu
"1D567 \Bbbv
"1D568 \Bbbw
"1D569 \Bbbx
"1D56A \Bbby
"1D56B \Bbbz
"1D56C \mbffrakA
"1D56D \mbffrakB
"1D56E \mbffrakC
"1D56F \mbffrakD
"1D570 \mbffrakE
"1D571 \mbffrakF
"1D572 \mbffrakG
"1D573 \mbffrakH
"1D574 \mbffrakI
"1D575 \mbffrakJ
"1D576 \mbffrakK
"1D577 \mbffrakL
"1D578 \mbffrakM
"1D579 \mbffrakN
"1D57A \mbffrakO
"1D57B \mbffrakP
"1D57C \mbffrakQ
"1D57D \mbffrakR
"1D57E \mbffrakS
"1D57F \mbffrakT
"1D580 \mbffrakU
"1D581 \mbffrakV
"1D582 \mbffrakW
"1D583 \mbffrakX
"1D584 \mbffrakY
"1D585 \mbffrakZ
"1D586 \mbffraka
"1D587 \mbffrakb
"1D588 \mbffrakc
"1D589 \mbffrakd
"1D58A \mbffrake
"1D58B \mbffrakf
"1D58C \mbffrakg
"1D58D \mbffrakh
"1D58E \mbffraki
"1D58F \mbffrakj
"1D590 \mbffrakk
"1D591 \mbffrakl
"1D592 \mbffrakm
"1D593 \mbffrakn
"1D594 \mbffrako
"1D595 \mbffrakp
"1D596 \mbffrakq
"1D597 \mbffrakr
"1D598 \mbffraks
"1D599 \mbffrakt
"1D59A \mbffraku
"1D59B \mbffrakv

"1D59C \mbffrakw
"1D59D \mbffrakx
"1D59E \mbffraky
"1D59F \mbffrakz
"1D5A0 \msansA
"1D5A1 \msansB
"1D5A2 \msansC
"1D5A3 \msansD
"1D5A4 \msansE
"1D5A5 \msansF
"1D5A6 \msansG
"1D5A7 \msansH
"1D5A8 \msansI
"1D5A9 \msansJ
"1D5AA \msansK
"1D5AB \msansL
"1D5AC \msansM
"1D5AD \msansN
"1D5AE \msansO
"1D5AF \msansP
"1D5B0 \msansQ
"1D5B1 \msansR
"1D5B2 \msansS
"1D5B3 \msansT
"1D5B4 \msansU
"1D5B5 \msansV
"1D5B6 \msansW
"1D5B7 \msansX
"1D5B8 \msansY
"1D5B9 \msansZ
"1D5BA \msansa
"1D5BB \msansb
"1D5BC \msansc
"1D5BD \msansd
"1D5BE \msanse
"1D5BF \msansf
"1D5C0 \msansg
"1D5C1 \msansh
"1D5C2 \msansi
"1D5C3 \msansj
"1D5C4 \msansk
"1D5C5 \msansl
"1D5C6 \msansm
"1D5C7 \msansn
"1D5C8 \msanso
"1D5C9 \msansp
"1D5CA \msansq
"1D5CB \msansr
"1D5CC \msanss
"1D5CD \msanst
"1D5CE \msansu
"1D5CF \msansv
"1D5D0 \msansw
"1D5D1 \msansx
"1D5D2 \msansy
"1D5D3 \msansz
"1D5D4 \mbfsansA
"1D5D5 \mbfsansB
"1D5D6 \mbfsansC
"1D5D7 \mbfsansD
"1D5D8 \mbfsansE
"1D5D9 \mbfsansF
"1D5DA \mbfsansG
"1D5DB \mbfsansH
"1D5DC \mbfsansI
"1D5DD \mbfsansJ
"1D5DE \mbfsansK
"1D5DF \mbfsansL
"1D5E0 \mbfsansM
"1D5E1 \mbfsansN
"1D5E2 \mbfsansO
"1D5E3 \mbfsansP
"1D5E4 \mbfsansQ
"1D5E5 \mbfsansR
"1D5E6 \mbfsansS
"1D5E7 \mbfsansT
"1D5E8 \mbfsansU
"1D5E9 \mbfsansV
"1D5EA \mbfsansW
"1D5EB \mbfsansX
"1D5EC \mbfsansY
"1D5ED \mbfsansZ
"1D5EE \mbfsansa
"1D5EF \mbfsansb
"1D5F0 \mbfsansc
"1D5F1 \mbfsansd
"1D5F2 \mbfsanse
"1D5F3 \mbfsansf
"1D5F4 \mbfsansg
"1D5F5 \mbfsansh
"1D5F6 \mbfsansi
"1D5F7 \mbfsansj
"1D5F8 \mbfsansk
"1D5F9 \mbfsansl
"1D5FA \mbfsansm
"1D5FB \mbfsansn
"1D5FC \mbfsanso
"1D5FD \mbfsansp
"1D5FE \mbfsansq
"1D5FF \mbfsansr
"1D600 \mbfsanss
"1D601 \mbfsanst

"1D602 \mbfsansu
"1D603 \mbfsansv
"1D604 \mbfsansw
"1D605 \mbfsansx
"1D606 \mbfsansy
"1D607 \mbfsansz
"1D608 \mitsansA
"1D609 \mitsansB
"1D60A \mitsansC
"1D60B \mitsansD
"1D60C \mitsansE
"1D60D \mitsansF
"1D60E \mitsansG
"1D60F \mitsansH
"1D610 \mitsansI
"1D611 \mitsansJ
"1D612 \mitsansK
"1D613 \mitsansL
"1D614 \mitsansM
"1D615 \mitsansN
"1D616 \mitsansO
"1D617 \mitsansP
"1D618 \mitsansQ
"1D619 \mitsansR
"1D61A \mitsansS
"1D61B \mitsansT
"1D61C \mitsansU
"1D61D \mitsansV
"1D61E \mitsansW
"1D61F \mitsansX
"1D620 \mitsansY
"1D621 \mitsansZ
"1D622 \mitsansa
"1D623 \mitsansb
"1D624 \mitsansc
"1D625 \mitsansd
"1D626 \mitsanse
"1D627 \mitsansf
"1D628 \mitsansg
"1D629 \mitsansh
"1D62A \mitsansi
"1D62B \mitsansj
"1D62C \mitsansk
"1D62D \mitsansl
"1D62E \mitsansm
"1D62F \mitsansn
"1D630 \mitsanso
"1D631 \mitsansp
"1D632 \mitsansq
"1D633 \mitsansr
"1D634 \mitsanss
"1D635 \mitsanst
"1D636 \mitsansu
"1D637 \mitsansv
"1D638 \mitsansw
"1D639 \mitsansx
"1D63A \mitsansy
"1D63B \mitsansz
"1D63C \mbfitsansA
"1D63D \mbfitsansB
"1D63E \mbfitsansC
"1D63F \mbfitsansD
"1D640 \mbfitsansE
"1D641 \mbfitsansF
"1D642 \mbfitsansG
"1D643 \mbfitsansH
"1D644 \mbfitsansI
"1D645 \mbfitsansJ
"1D646 \mbfitsansK
"1D647 \mbfitsansL
"1D648 \mbfitsansM
"1D649 \mbfitsansN
"1D64A \mbfitsansO
"1D64B \mbfitsansP
"1D64C \mbfitsansQ
"1D64D \mbfitsansR
"1D64E \mbfitsansS
"1D64F \mbfitsansT
"1D650 \mbfitsansU
"1D651 \mbfitsansV
"1D652 \mbfitsansW
"1D653 \mbfitsansX
"1D654 \mbfitsansY
"1D655 \mbfitsansZ
"1D656 \mbfitsansa
"1D657 \mbfitsansb
"1D658 \mbfitsansc
"1D659 \mbfitsansd
"1D65A \mbfitsanse
"1D65B \mbfitsansf
"1D65C \mbfitsansg
"1D65D \mbfitsansh
"1D65E \mbfitsansi
"1D65F \mbfitsansj
"1D660 \mbfitsansk
"1D661 \mbfitsansl
"1D662 \mbfitsansm
"1D663 \mbfitsansn
"1D664 \mbfitsanso
"1D665 \mbfitsansp
"1D666 \mbfitsansq
"1D667 \mbfitsansr

"1D668 \mbfitsanss
"1D669 \mbfitsanst
"1D66A \mbfitsansu
"1D66B \mbfitsansv
"1D66C \mbfitsansw
"1D66D \mbfitsansx
"1D66E \mbfitsansy
"1D66F \mbfitsansz
"1D670 \mttA
"1D671 \mttB
"1D672 \mttC
"1D673 \mttD
"1D674 \mttE
"1D675 \mttF
"1D676 \mttG
"1D677 \mttH
"1D678 \mttI
"1D679 \mttJ
"1D67A \mttK
"1D67B \mttL
"1D67C \mttM
"1D67D \mttN
"1D67E \mttO
"1D67F \mttP
"1D680 \mttQ
"1D681 \mttR
"1D682 \mttS
"1D683 \mttT
"1D684 \mttU
"1D685 \mttV
"1D686 \mttW
"1D687 \mttX
"1D688 \mttY
"1D689 \mttZ
"1D68A \mtta
"1D68B \mttb
"1D68C \mttc
"1D68D \mttd
"1D68E \mtte
"1D68F \mttf
"1D690 \mttg
"1D691 \mtth
"1D692 \mtti
"1D693 \mttj
"1D694 \mttk
"1D695 \mttl
"1D696 \mttm
"1D697 \mttn
"1D698 \mtto
"1D699 \mttp
"1D69A \mttq
"1D69B \mttr
"1D69C \mtts
"1D69D \mttt
"1D69E \mttu
"1D69F \mttv
"1D6A0 \mttw
"1D6A1 \mttx
"1D6A2 \mtty
"1D6A3 \mttz
"1D6A4 \imath
"1D6A5 \jmath
"1D6A8 \mbfAlpha
"1D6A9 \mbfBeta
"1D6AA \mbfGamma
"1D6AB \mbfDelta
"1D6AC \mbfEpsilon
"1D6AD \mbfZeta
"1D6AE \mbfEta
"1D6AF \mbfTheta
"1D6B0 \mbfIota
"1D6B1 \mbfKappa
"1D6B2 \mbfLambda
"1D6B3 \mbfMu
"1D6B4 \mbfNu
"1D6B5 \mbfXi
"1D6B6 \mbfOmicron
"1D6B7 \mbfPi
"1D6B8 \mbfRho
"1D6B9 \mbfvarTheta
"1D6BA \mbfSigma
"1D6BB \mbfTau
"1D6BC \mbfUpsilon
"1D6BD \mbfPhi
"1D6BE \mbfChi
"1D6BF \mbfPsi
"1D6C0 \mbfOmega
"1D6C1 \mbfnabla
"1D6C2 \mbfalpha
"1D6C3 \mbfbeta
"1D6C4 \mbfgamma
"1D6C5 \mbfdelta
"1D6C6 \mbfvarepsilon
"1D6C7 \mbfzeta
"1D6C8 \mbfeta
"1D6C9 \mbftheta
"1D6CA \mbfiota
"1D6CB \mbfkappa
"1D6CC \mbflambda
"1D6CD \mbfmu
"1D6CE \mbfnu
"1D6CF \mbfxi

"1D6D0 \mbfomicron
"1D6D1 \mbfpi
"1D6D2 \mbfrho
"1D6D3 \mbfvarsigma
"1D6D4 \mbfsigma
"1D6D5 \mbftau
"1D6D6 \mbfupsilon
"1D6D7 \mbfvarphi
"1D6D8 \mbfchi
"1D6D9 \mbfpsi
"1D6DA \mbfomega
"1D6DB \mbfpartial
"1D6DC \mbfepsilon
"1D6DD \mbfvartheta
"1D6DE \mbfvarkappa
"1D6DF \mbfphi
"1D6E0 \mbfvarrho
"1D6E1 \mbfvarpi
"1D6E2 \mitAlpha
"1D6E3 \mitBeta
"1D6E4 \mitGamma
"1D6E5 \mitDelta
"1D6E6 \mitEpsilon
"1D6E7 \mitZeta
"1D6E8 \mitEta
"1D6E9 \mitTheta
"1D6EA \mitIota
"1D6EB \mitKappa
"1D6EC \mitLambda
"1D6ED \mitMu
"1D6EE \mitNu
"1D6EF \mitXi
"1D6F0 \mitOmicron
"1D6F1 \mitPi
"1D6F2 \mitRho
"1D6F3 \mitvarTheta
"1D6F4 \mitSigma
"1D6F5 \mitTau
"1D6F6 \mitUpsilon
"1D6F7 \mitPhi
"1D6F8 \mitChi
"1D6F9 \mitPsi
"1D6FA \mitOmega
"1D6FB \mitnabla
"1D6FC \mitalpha
"1D6FD \mitbeta
"1D6FE \mitgamma
"1D6FF \mitdelta
"1D700 \mitvarepsilon
"1D701 \mitzeta
"1D702 \miteta
"1D703 \mittheta
"1D704 \mitiota
"1D705 \mitkappa
"1D706 \mitlambda
"1D707 \mitmu
"1D708 \mitnu
"1D709 \mitxi
"1D70A \mitomicron
"1D70B \mitpi
"1D70C \mitrho
"1D70D \mitvarsigma
"1D70E \mitsigma
"1D70F \mittau
"1D710 \mitupsilon
"1D711 \mitvarphi
"1D712 \mitchi
"1D713 \mitpsi
"1D714 \mitomega
"1D715 \mitpartial
"1D716 \mitepsilon
"1D717 \mitvartheta
"1D718 \mitvarkappa
"1D719 \mitphi
"1D71A \mitvarrho
"1D71B \mitvarpi
"1D71C \mbfitAlpha
"1D71D \mbfitBeta
"1D71E \mbfitGamma
"1D71F \mbfitDelta
"1D720 \mbfitEpsilon
"1D721 \mbfitZeta
"1D722 \mbfitEta
"1D723 \mbfitTheta
"1D724 \mbfitIota
"1D725 \mbfitKappa
"1D726 \mbfitLambda
"1D727 \mbfitMu
"1D728 \mbfitNu
"1D729 \mbfitXi
"1D72A \mbfitOmicron
"1D72B \mbfitPi
"1D72C \mbfitRho
"1D72D \mbfitvarTheta
"1D72E \mbfitSigma
"1D72F \mbfitTau
"1D730 \mbfitUpsilon
"1D731 \mbfitPhi
"1D732 \mbfitChi
"1D733 \mbfitPsi
"1D734 \mbfitOmega
"1D735 \mbfitnabla

"1D736 \mbfitalpha
"1D737 \mbfitbeta
"1D738 \mbfitgamma
"1D739 \mbfitdelta
"1D73A \mbfitvarepsilon
"1D73B \mbfitzeta
"1D73C \mbfiteta
"1D73D \mbfittheta
"1D73E \mbfitiota
"1D73F \mbfitkappa
"1D740 \mbfitlambda
"1D741 \mbfitmu
"1D742 \mbfitnu
"1D743 \mbfitxi
"1D744 \mbfitomicron
"1D745 \mbfitpi
"1D746 \mbfitrho
"1D747 \mbfitvarsigma
"1D748 \mbfitsigma
"1D749 \mbfittau
"1D74A \mbfitupsilon
"1D74B \mbfitvarphi
"1D74C \mbfitchi
"1D74D \mbfitpsi
"1D74E \mbfitomega
"1D74F \mbfitpartial
"1D750 \mbfitepsilon
"1D751 \mbfitvartheta
"1D752 \mbfitvarkappa
"1D753 \mbfitphi
"1D754 \mbfitvarrho
"1D755 \mbfitvarpi
"1D756 \mbfsansAlpha
"1D757 \mbfsansBeta
"1D758 \mbfsansGamma
"1D759 \mbfsansDelta
"1D75A \mbfsansEpsilon
"1D75B \mbfsansZeta
"1D75C \mbfsansEta
"1D75D \mbfsansTheta
"1D75E \mbfsansIota
"1D75F \mbfsansKappa
"1D760 \mbfsansLambda
"1D761 \mbfsansMu
"1D762 \mbfsansNu
"1D763 \mbfsansXi
"1D764 \mbfsansOmicron
"1D765 \mbfsansPi
"1D766 \mbfsansRho
"1D767 \mbfsansvarTheta
"1D768 \mbfsansSigma
"1D769 \mbfsansTau
"1D76A \mbfsansUpsilon
"1D76B \mbfsansPhi
"1D76C \mbfsansChi
"1D76D \mbfsansPsi
"1D76E \mbfsansOmega
"1D76F \mbfsansnabla
"1D770 \mbfsansalpha
"1D771 \mbfsansbeta
"1D772 \mbfsansgamma
"1D773 \mbfsansdelta
"1D774 \mbfsansvarepsilon
